FUNCTION NAME,DESCRIPTION
abs(x),"Return the absolute value of a number.  The argument may be an
integer or a floating point number.  If the argument is a complex number, its
magnitude is returned. If x defines __abs__(),
abs(x) returns x.__abs__()."
all(iterable),"Return True if all elements of the iterable are true (or if the iterable
is empty).  Equivalent to:
def all(iterable):
    for element in iterable:
        if not element:
            return False
    return True"
any(iterable),"Return True if any element of the iterable is true.  If the iterable
is empty, return False.  Equivalent to:
def any(iterable):
    for element in iterable:
        if element:
            return True
    return False"
ascii(object),"As repr(), return a string containing a printable representation of an
object, but escape the non-ASCII characters in the string returned by
repr() using \x, \u or \U escapes.  This generates a string
similar to that returned by repr() in Python 2."
bin(x),"Convert an integer number to a binary string prefixed with “0b”. The result
is a valid Python expression. If x is not a Python int object, it
has to define an __index__() method that returns an integer. Some
examples:
>>> bin(3)
'0b11'
>>> bin(-10)
'-0b1010'


If prefix “0b” is desired or not, you can use either of the following ways.
>>> format(14, '#b'), format(14, 'b')
('0b1110', '1110')
>>> f'{14:#b}', f'{14:b}'
('0b1110', '1110')


See also format() for more information."
"breakpoint(*args, **kws)","This function drops you into the debugger at the call site.  Specifically,
it calls sys.breakpointhook(), passing args and kws straight
through.  By default, sys.breakpointhook() calls
pdb.set_trace() expecting no arguments.  In this case, it is
purely a convenience function so you don’t have to explicitly import
pdb or type as much code to enter the debugger.  However,
sys.breakpointhook() can be set to some other function and
breakpoint() will automatically call that, allowing you to drop into
the debugger of choice.
Raises an auditing event builtins.breakpoint with argument breakpointhook.

New in version 3.7."
callable(object),"Return True if the object argument appears callable,
False if not.  If this returns True, it is still possible that a
call fails, but if it is False, calling object will never succeed.
Note that classes are callable (calling a class returns a new instance);
instances are callable if their class has a __call__() method.

New in version 3.2: This function was first removed in Python 3.0 and then brought back
in Python 3.2."
chr(i),"Return the string representing a character whose Unicode code point is the
integer i.  For example, chr(97) returns the string 'a', while
chr(8364) returns the string '€'. This is the inverse of ord().
The valid range for the argument is from 0 through 1,114,111 (0x10FFFF in
base 16).  ValueError will be raised if i is outside that range."
@classmethod,"Transform a method into a class method.
A class method receives the class as implicit first argument, just like an
instance method receives the instance. To declare a class method, use this
idiom:
class C:
    @classmethod
    def f(cls, arg1, arg2, ...): ...


The @classmethod form is a function decorator – see
Function definitions for details.
A class method can be called either on the class (such as C.f()) or on an instance (such
as C().f()).  The instance is ignored except for its class. If a class
method is called for a derived class, the derived class object is passed as the
implied first argument.
Class methods are different than C++ or Java static methods. If you want those,
see staticmethod().
For more information on class methods, see The standard type hierarchy."
"compile(source, filename, mode, flags=0, dont_inherit=False, optimize=-1)","Compile the source into a code or AST object.  Code objects can be executed
by exec() or eval().  source can either be a normal string, a
byte string, or an AST object.  Refer to the ast module documentation
for information on how to work with AST objects.
The filename argument should give the file from which the code was read;
pass some recognizable value if it wasn’t read from a file ('<string>' is
commonly used).
The mode argument specifies what kind of code must be compiled; it can be
'exec' if source consists of a sequence of statements, 'eval' if it
consists of a single expression, or 'single' if it consists of a single
interactive statement (in the latter case, expression statements that
evaluate to something other than None will be printed).
The optional arguments flags and dont_inherit control which future
statements affect the compilation of source.  If neither
is present (or both are zero) the code is compiled with those future
statements that are in effect in the code that is calling compile().  If the
flags argument is given and dont_inherit is not (or is zero) then the
future statements specified by the flags argument are used in addition to
those that would be used anyway. If dont_inherit is a non-zero integer then
the flags argument is it – the future statements in effect around the call
to compile are ignored.
Future statements are specified by bits which can be bitwise ORed together to
specify multiple statements.  The bitfield required to specify a given feature
can be found as the compiler_flag attribute on
the _Feature instance in the __future__ module.
The optional argument flags also controls whether the compiled source is
allowed to contain top-level await, async for and async with.
When the bit ast.PyCF_ALLOW_TOP_LEVEL_AWAIT is set, the return code
object has CO_COROUTINE set in co_code, and can be interactively
executed via await eval(code_object).
The argument optimize specifies the optimization level of the compiler; the
default value of -1 selects the optimization level of the interpreter as
given by -O options.  Explicit levels are 0 (no optimization;
__debug__ is true), 1 (asserts are removed, __debug__ is false)
or 2 (docstrings are removed too).
This function raises SyntaxError if the compiled source is invalid,
and ValueError if the source contains null bytes.
If you want to parse Python code into its AST representation, see
ast.parse().
Raises an auditing event compile with arguments
source and filename. This event may also be raised by implicit
compilation.

Note
When compiling a string with multi-line code in 'single' or
'eval' mode, input must be terminated by at least one newline
character.  This is to facilitate detection of incomplete and complete
statements in the code module.


Warning
It is possible to crash the Python interpreter with a
sufficiently large/complex string when compiling to an AST
object due to stack depth limitations in Python’s AST compiler.


Changed in version 3.2: Allowed use of Windows and Mac newlines.  Also input in 'exec' mode
does not have to end in a newline anymore.  Added the optimize parameter.


Changed in version 3.5: Previously, TypeError was raised when null bytes were encountered
in source.


New in version 3.8: ast.PyCF_ALLOW_TOP_LEVEL_AWAIT can now be passed in flags to enable
support for top-level await, async for, and async with."
"delattr(object, name)","This is a relative of setattr().  The arguments are an object and a
string.  The string must be the name of one of the object’s attributes.  The
function deletes the named attribute, provided the object allows it.  For
example, delattr(x, 'foobar') is equivalent to del x.foobar."
dir([object]),"Without arguments, return the list of names in the current local scope.  With an
argument, attempt to return a list of valid attributes for that object.
If the object has a method named __dir__(), this method will be called and
must return the list of attributes. This allows objects that implement a custom
__getattr__() or __getattribute__() function to customize the way
dir() reports their attributes.
If the object does not provide __dir__(), the function tries its best to
gather information from the object’s __dict__ attribute, if defined, and
from its type object.  The resulting list is not necessarily complete, and may
be inaccurate when the object has a custom __getattr__().
The default dir() mechanism behaves differently with different types of
objects, as it attempts to produce the most relevant, rather than complete,
information:

If the object is a module object, the list contains the names of the module’s
attributes.
If the object is a type or class object, the list contains the names of its
attributes, and recursively of the attributes of its bases.
Otherwise, the list contains the object’s attributes’ names, the names of its
class’s attributes, and recursively of the attributes of its class’s base
classes.

The resulting list is sorted alphabetically.  For example:
>>> import struct
>>> dir()   # show the names in the module namespace  
['__builtins__', '__name__', 'struct']
>>> dir(struct)   # show the names in the struct module 
['Struct', '__all__', '__builtins__', '__cached__', '__doc__', '__file__',
 '__initializing__', '__loader__', '__name__', '__package__',
 '_clearcache', 'calcsize', 'error', 'pack', 'pack_into',
 'unpack', 'unpack_from']
>>> class Shape:
...     def __dir__(self):
...         return ['area', 'perimeter', 'location']
>>> s = Shape()
>>> dir(s)
['area', 'location', 'perimeter']



Note
Because dir() is supplied primarily as a convenience for use at an
interactive prompt, it tries to supply an interesting set of names more
than it tries to supply a rigorously or consistently defined set of names,
and its detailed behavior may change across releases.  For example,
metaclass attributes are not in the result list when the argument is a
class."
"divmod(a, b)","Take two (non complex) numbers as arguments and return a pair of numbers
consisting of their quotient and remainder when using integer division.  With
mixed operand types, the rules for binary arithmetic operators apply.  For
integers, the result is the same as (a // b, a % b). For floating point
numbers the result is (q, a % b), where q is usually math.floor(a /
b) but may be 1 less than that.  In any case q * b + a % b is very
close to a, if a % b is non-zero it has the same sign as b, and 0
<= abs(a % b) < abs(b)."
"enumerate(iterable, start=0)","Return an enumerate object. iterable must be a sequence, an
iterator, or some other object which supports iteration.
The __next__() method of the iterator returned by
enumerate() returns a tuple containing a count (from start which
defaults to 0) and the values obtained from iterating over iterable.
>>> seasons = ['Spring', 'Summer', 'Fall', 'Winter']
>>> list(enumerate(seasons))
[(0, 'Spring'), (1, 'Summer'), (2, 'Fall'), (3, 'Winter')]
>>> list(enumerate(seasons, start=1))
[(1, 'Spring'), (2, 'Summer'), (3, 'Fall'), (4, 'Winter')]


Equivalent to:
def enumerate(sequence, start=0):
    n = start
    for elem in sequence:
        yield n, elem
        n += 1"
"eval(expression[, globals[, locals]])","The arguments are a string and optional globals and locals.  If provided,
globals must be a dictionary.  If provided, locals can be any mapping
object.
The expression argument is parsed and evaluated as a Python expression
(technically speaking, a condition list) using the globals and locals
dictionaries as global and local namespace.  If the globals dictionary is
present and does not contain a value for the key __builtins__, a
reference to the dictionary of the built-in module builtins is
inserted under that key before expression is parsed.  This means that
expression normally has full access to the standard builtins
module and restricted environments are propagated.  If the locals
dictionary is omitted it defaults to the globals dictionary.  If both
dictionaries are omitted, the expression is executed with the globals and
locals in the environment where eval() is called.  Note, eval()
does not have access to the nested scopes (non-locals) in the
enclosing environment.
The return value is the result of
the evaluated expression. Syntax errors are reported as exceptions.  Example:
>>> x = 1
>>> eval('x+1')
2


This function can also be used to execute arbitrary code objects (such as
those created by compile()).  In this case pass a code object instead
of a string.  If the code object has been compiled with 'exec' as the
mode argument, eval()’s return value will be None.
Hints: dynamic execution of statements is supported by the exec()
function.  The globals() and locals() functions
returns the current global and local dictionary, respectively, which may be
useful to pass around for use by eval() or exec().
See ast.literal_eval() for a function that can safely evaluate strings
with expressions containing only literals.
Raises an auditing event exec with the code object
as the argument. Code compilation events may also be raised."
